A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
85.54722457,95.86957657,85.44288026,73.17557494,78.60508739,26.91395506,22.39469598,8.207128679,21.16991321,7.9426701,25,16.29666499,19.02147061,0,0,0,1,1,1,1
80.12517144,69.85287109,82.29102902,68.50249153,77.37720221,33.4299327,23.39205134,18.2694118,15.43833452,13.09039438,25,15.75889274,20.64935475,1,0,1,1,0,0,1
88.5188915,67.4008278,88.18360734,77.45393688,74.21744773,32.41910243,22.78237524,11.35578942,10.08878064,17.24564876,15.85579066,17.0919491,23.23071315,0,1,0,0,1,0,0
83.62449999,96.08436705,94.6018922,79.56186299,79.92214898,30.96626727,19.70685367,23.15589567,17.61323162,8.526415119,13.82847917,20.50505159,18.63005337,0,0,0,0,0,0,0
86.80530606,62.45785779,82.07588771,76.09611627,75.25687459,27.81110948,12.07961298,14.15519279,19.79873208,15.93224514,21.46123722,23.91239646,19.68718664,1,0,0,1,1,0,0
70.78106551,80.19755908,88.56974073,77.97483197,86.89696259,46.04080611,25.68045765,20.63076041,25,14.44396824,25,14.60009812,20.00575486,0,0,0,1,1,0,0
94.81306986,74.91937537,92.76092831,86.20938682,79.02623461,30.38882013,15.37532428,21.86478472,15.69035143,22.5695995,17.6554257,15.67329967,17.86752307,0,0,0,1,1,0,0
75.03450065,73.18268117,80.31358545,79.81905551,78.95996632,37.03805423,11.28532579,19.13353566,11.78201393,16.36738145,25,25,23.10668628,1,0,1,0,0,1,1
76.24691345,47.48726719,100,76.56262327,79.35368858,38.77958392,18.12621368,21.42721824,13.95246911,19.68016849,16.64515366,15.94392276,25,0,1,0,1,1,1,1
77.0031341,54.9492442,86.9847178,83.46007982,85.17502088,47.40188364,30,16.21836012,14.35284455,17.05455778,23.05810373,14.60964326,18.28295158,0,0,1,0,1,1,1
66.47313211,71.22223346,89.53033359,79.94471321,84.69070558,37.19875517,14.19549447,19.00508147,19.40686617,21.6131788,19.80717089,20.08430038,17.56486144,0,0,0,1,0,1,0
89.18749334,96.57766917,78.75829829,78.56161021,87.24553949,28.86438195,0,15.1006121,12.68546992,25,23.49048337,16.25361082,16.90961374,0,1,1,1,0,0,0
83.07510078,79.98659143,99.38280063,67.97425471,77.7646567,25.41337827,16.69175679,13.73894562,22.23976131,18.74533771,20.78506301,11.91736657,25,0,0,0,0,0,0,0
91.5075614,67.87328954,78.74238216,81.15229923,81.87723647,45.24573814,1.871870623,14.28870162,12.0891102,21.58355017,25,21.41261961,22.49323772,1,1,0,1,0,0,1
82.11902358,78.19225377,78.65615242,83.98666786,70.8286654,50,4.082942322,11.22681922,11.28131713,15.36845325,13.05445063,16.54897778,19.97093369,0,1,0,0,0,0,0
79.38459444,74.61684244,80.7064134,81.07408527,76.41307313,38.64341337,7.475105107,20.2824277,9.094483952,23.76165973,23.32012908,25,21.591691,0,0,0,0,1,1,1
88.60458865,79.50277226,87.40509642,74.95811381,76.92209187,25.0660401,14.86860511,16.83606978,14.19560705,23.69622071,20.07352678,17.1498843,19.97726089,1,0,0,1,1,0,0
88.5084086,68.74886247,79.93676467,70.7176127,73.2832938,29.11802456,14.63407765,18.63715471,14.11350405,23.32719642,25,20.44301449,14.40184248,0,0,1,1,1,1,0
84.90749532,91.08569151,76.18060142,79.74142329,73.97872319,17.97998509,4.916940759,19.07468971,25,15.4645843,17.79757058,15.40488225,12.7110442,1,1,1,1,0,0,0
82.95925813,53.8206056,84.77069997,85.94622513,73.33841003,31.71731827,13.1304803,10.48480798,13.39196345,19.71778368,14.03508653,25,14.71066954,1,0,0,0,0,0,0
95.83214888,88.93532541,85.2849893,76.20387002,81.91741853,43.32711703,23.27892867,11.49110339,15.87540408,13.01484245,7.603850174,20.66185376,18.01002498,0,1,1,1,0,1,1
97.98822302,78.69489671,75.13501037,77.25690456,82.30761597,27.18049767,16.17175886,13.96014074,16.03140811,15.96113154,23.80047288,24.79398706,10.75285172,1,0,1,1,0,1,0
85.6390351,77.10829724,88.68962684,75.80779696,83.92906558,50,25.59647925,15.91972479,18.83847887,15.31445222,25,22.71218575,10.91196283,0,1,0,1,1,1,1
78.17442248,94.6559021,79.2317237,86.448298,77.4110824,27.82969811,12.76979966,17.69905375,12.36022097,9.176341132,21.90781161,16.96278957,9.490306331,0,1,0,0,0,0,0
91.10658138,93.81552892,87.89837403,77.7839945,81.35561339,21.04390171,5.535889138,13.2004607,21.03918719,21.2632938,19.52038054,14.91418704,14.62099629,0,0,0,1,1,0,0
70.0612316,75.79465345,86.2777081,73.56708361,67.15408004,29.52154845,12.80270322,12.67790997,10.03426001,8.376784718,25,17.90149082,22.93434008,0,0,0,1,1,1,0
85.33454363,86.05365295,84.02239939,85.14550277,82.71996706,31.85328756,15.82008894,16.18048097,14.50166423,25,9.020225262,17.68032088,23.49530175,0,1,1,0,1,0,0
83.30103776,70.22083424,77.67778502,82.03702297,83.56399573,27.90084653,15.05737365,16.30470937,15.35555897,21.16922794,16.63367745,21.09575928,13.78931409,1,0,0,0,0,0,0
92.99067257,47.39781168,97.86272291,79.17539649,77.60697862,21.51399905,7.596107164,12.54752408,22.32262802,25,17.50814557,21.01505369,24.38467984,1,0,1,0,1,1,0
86.31313187,75.34899572,98.40164686,74.15186867,84.21571005,31.38301521,30,15.01604287,17.38309101,13.23281421,19.17533454,13.93708749,22.71095947,1,0,0,1,0,0,1
89.21016259,71.10925764,86.97407364,72.07838413,82.91022919,36.01167712,15.75731444,22.28573171,20.43267142,25,24.42704945,23.96219215,25,0,0,0,1,1,0,0
91.51794046,82.94538794,76.22605022,76.24583243,76.33494789,31.27727167,28.87798504,21.34071293,11.85888268,25,19.01887936,19.57719284,4.575821913,0,1,1,0,1,1,1
94.897496,67.75282486,94.7556847,79.471178,78.72979499,12.33006948,19.82314452,14.57596909,18.11733381,25,19.18719962,16.50349978,13.14130754,1,1,0,1,1,0,1
97.9948009,81.8655588,85.95965407,87.62733832,72.79421023,27.97844667,25.96868421,20.51126515,11.94690268,20.3160478,17.08227523,20.35832279,15.07496302,1,1,1,1,1,1,1
90.21238754,91.67115032,97.00975716,73.41474633,86.94492378,49.07521002,30,18.69927219,5.998309618,19.94800011,25,14.11892312,20.50219161,0,1,0,0,1,1,1
78.65112645,93.25415166,94.62532848,78.93045547,76.01644765,37.4020635,2.555962248,21.16306955,16.71532723,10.83704602,25,18.62792571,16.73730454,1,0,1,0,0,1,1
75.79270977,86.47667783,89.15861602,84.55338806,80.79022226,45.81538286,18.51646537,11.6553602,12.41160406,25,15.42998082,14.94750557,24.84860455,1,0,0,1,0,1,1
67.57100416,99.1833242,82.12060783,81.15236555,71.6963754,34.93059919,15.79354023,20.56548188,19.27230849,19.69554858,17.838094,25,13.06164228,0,0,0,0,0,1,0
82.54221526,82.45294536,83.56292493,83.72265469,76.77208198,16.77521608,20.6202677,9.345326335,23.24278091,17.0741177,25,25,14.139006,1,1,1,1,1,1,1
71.55744182,78.19207745,99.13027732,67.5133092,73.78774773,39.27239977,19.2791731,12.31744118,2.411163296,16.31965896,25,24.0976105,7.324372734,1,1,0,0,1,0,0
93.36763347,80.12587953,82.96511757,73.91863304,74.73250195,31.55114035,0.321827822,20.76855569,20.51419373,24.24092897,11.62267253,13.71875273,13.52327773,0,1,0,1,0,1,0
71.47870672,91.60440893,81.9328287,80.79818408,82.053153,45.99933577,22.78829882,10.99351979,17.08533193,8.048890717,7.951504655,17.48004173,16.66602937,0,1,1,0,0,1,1
81.3523668,88.79203122,96.08552882,66.62912736,76.60495043,49.05729365,15.85124309,11.92500213,20.43527508,25,22.72978027,25,15.02698591,1,0,1,0,1,1,1
82.25359156,61.83913686,78.04706247,63.41162151,72.15978833,31.1624718,26.69772394,15.64740265,16.32186059,25,25,22.79242774,14.23196951,0,0,0,1,0,0,0
85.52867499,77.30662531,96.65286147,74.22780529,68.09556748,26.19431269,23.07133684,14.61500285,20.49627951,24.78793562,13.44936272,16.3881738,13.67032766,0,0,1,0,1,1,1
81.140366,57.91980939,87.60163432,78.21462753,88.06654006,31.39302067,10.20825183,11.5111626,13.1325981,25,18.00176586,11.88147661,21.45747401,0,0,1,1,1,0,0
72.70229157,84.00754484,92.23538506,68.27923167,83.08344197,41.75676261,24.16250197,23.1415516,16.00008149,7.328942421,6.146341562,20.26174559,14.03152401,1,1,0,0,0,0,0
82.71874353,72.294571,84.04462605,80.52663909,84.77789792,37.81070028,29.40265038,14.6339497,25,16.30009241,0.102203007,22.64084898,11.70798754,0,0,0,1,1,1,1
94.6130561,73.79181942,91.04401388,74.26844269,80.71484268,30.10837021,9.86700061,7.745343449,15.08037721,19.63025716,14.46844329,14.80559399,12.90115782,1,0,0,0,0,0,0
70.79345427,47.51560499,89.16972873,86.22409673,72.53805413,47.46109611,9.008483784,9.605632376,12.11000732,22.43994503,14.69873896,14.94157239,10.83869372,1,0,1,0,0,1,0
100,64.47413275,90.44480091,76.06783114,74.69314974,43.70692338,30,6.147612725,10.22071508,18.86600875,16.28617841,21.46052136,18.24687548,1,0,0,1,0,0,1
74.24228416,70.44076314,79.9670395,81.29395531,74.67186256,31.42874344,22.49395778,23.99607068,24.34293469,25,25,10.16909699,18.77218028,1,0,1,0,0,0,1
89.694341,89.87309427,77.48943748,70.54164326,78.5104138,50,17.30544456,11.52218126,14.17933698,13.95334008,24.54168729,11.09438655,14.69786926,1,1,0,1,1,0,1
88.47916798,77.86046877,92.38542023,73.07295515,77.26186745,39.66489669,17.2143899,21.80212756,15.31076261,22.82352655,2.304828408,15.7094135,21.37637812,1,1,1,1,1,1,1
75.62038652,80.19591511,71.21780217,86.31890124,85.8548838,36.41878928,23.74767691,15.06657627,14.82899377,23.9453355,13.38009072,17.94558851,18.93212615,1,1,0,0,0,1,0
89.35445075,77.75251486,78.9052054,83.83959355,80.51585099,43.49907946,26.64572978,14.6871523,17.36125263,24.29729194,22.99096229,13.91305881,22.40420919,0,1,0,1,1,1,1
86.66910215,71.88056622,80.49948118,83.65454236,83.43157397,38.98753086,25.63403199,23.91673329,18.98769258,6.875630512,18.54627004,21.22746948,19.89707679,0,0,0,1,1,1,1
74.61908794,69.43984643,81.77899811,80.1608402,77.34006872,46.70424573,21.86465062,19.55855585,15.11040664,13.68823465,14.83987685,25,7.098436856,0,1,0,1,0,0,1
90.28179143,78.42686324,79.61236803,75.18772962,75.88868855,24.87720668,9.989249925,10.42852529,21.32697036,25,23.45266705,13.76624234,15.00472188,1,1,0,0,0,0,0
81.91982614,69.4495904,83.36317131,81.43111441,81.36255904,43.16768289,30,17.10541009,13.05755086,7.977386147,13.42733309,6.498718148,16.20951649,1,0,0,0,0,0,0
78.12918165,88.65871977,84.18377034,70.08167743,80.58478865,41.90526925,18.02559965,18.66515653,11.68313082,14.9271148,17.89714471,19.622194,16.85854071,1,0,1,1,0,0,1
88.41673613,74.286202,74.70333145,83.74949991,73.12384007,34.51043115,13.14845531,18.85630633,10.7460481,4.295543589,18.45824086,14.55250163,24.73675268,1,0,1,1,0,0,1
78.87536245,73.14006508,83.16315353,70.95946404,84.35005286,27.3871824,11.737711,22.99015061,13.4541271,0,25,18.03514392,18.02153897,0,1,1,1,1,0,0
90.10864775,67.768892,85.73867927,76.44178774,80.46857578,50,15.36804848,17.79226931,10.35264387,3.930237932,21.17872618,11.53926501,13.21645076,0,0,1,0,1,1,1
83.86453074,100,87.59455238,63.58131058,76.72661049,14.56076739,27.86092897,15.92517057,14.20620915,11.49653137,25,12.89212438,15.32644996,0,1,0,0,1,0,0
89.77472416,94.66234125,90.54861365,81.87182833,88.44504904,38.0246814,19.21506169,11.6729131,12.36697493,21.22792612,18.15023804,7.90884897,22.62583259,1,0,1,0,1,1,1
77.4660236,84.21232922,87.59461953,73.76002806,71.22641844,23.06726716,13.76474231,11.34947829,18.50196902,21.70863928,19.48625902,20.64992016,20.1576123,0,1,1,1,0,1,0
87.0832419,67.43725353,89.18710476,77.24327298,76.54510833,38.71770359,15.89101183,14.32535192,10.03521217,9.085708117,20.28884673,18.03062657,25,0,1,1,0,0,1,1
91.0955066,84.91518081,78.24025204,78.76397683,74.16771702,35.22090981,6.52674491,15.73752455,13.83516797,13.61687006,22.9978469,24.57238638,18.19800451,0,1,0,1,0,1,1
90.68179256,78.97868109,84.47393237,79.04544805,73.33976381,30.59336407,17.74064255,13.97083021,10.32362754,14.81643999,16.69870866,16.35681781,24.71965913,1,0,1,0,0,1,0
75.7125884,74.18033749,95.49401574,76.44043115,76.08101748,23.55199567,16.17997577,23.25162107,10.04043109,18.11866415,14.74079502,19.28547865,20.5962289,1,1,1,1,1,1,0
79.90623468,66.99201295,82.11981581,78.15713701,76.2957437,25.44308731,24.55101199,12.48492546,20.05427173,25,22.81372689,14.74640724,7.360448545,1,1,1,0,1,1,1
92.44514026,57.03430466,95.76368955,65.2467775,67.12071011,29.51337198,24.78030451,13.86791233,13.69469963,8.311918579,25,21.28378087,12.31970253,0,0,1,1,0,0,0
84.55378942,82.27373975,80.39202927,76.77751704,81.57353248,37.9710372,19.26251466,13.2224146,9.836980525,25,13.30347624,12.51733247,14.2234744,0,0,0,0,1,1,1
80.77343705,77.38918229,83.57747462,81.62807804,72.59837469,50,19.31019631,18.64216728,12.99961863,8.360178659,20.22587237,10.29493201,15.53648194,0,0,1,1,0,0,0
85.23510841,81.23340391,93.10929136,74.83069565,79.89172538,41.68727335,7.896331883,24.44848232,8.604706923,14.81682389,12.47583332,14.17367323,16.4058426,1,1,1,1,1,0,1
89.59980023,76.05698353,89.91718948,85.54262583,74.07918402,24.38353504,6.879782095,23.27198511,13.67077029,15.82238571,3.335625339,17.74195483,19.26359641,0,1,0,0,0,1,0
84.19532939,66.8231273,81.93295552,74.81416785,76.71178598,31.33768286,27.72114495,6.492248065,23.73311923,15.87573662,25,24.23615598,7.481361606,1,1,0,0,0,0,0
82.66796789,84.72656472,91.91875444,77.6459365,77.18813674,18.92008536,14.08769392,7.665779286,20.1004905,7.745012267,25,17.167321,19.34634873,1,0,0,1,0,1,0
78.98720331,82.3790873,85.42083523,78.75920359,79.07869803,33.80990852,20.41295343,12.70122258,16.71383756,25,21.8703466,23.26062157,22.77207415,0,0,0,1,1,1,1
91.19908775,59.65607038,96.91141193,74.91895565,77.86655318,38.93039666,10.61045951,25,15.57002039,8.534460633,25,18.94760824,24.83656249,1,1,0,1,1,1,1
64.75098667,61.94526309,92.13285306,83.36363224,75.78199764,25.67003357,0,11.08664511,17.46474647,6.885271783,19.22815368,18.56498053,18.84839921,1,1,1,1,1,1,0
78.49944934,66.64891971,82.05581547,85.72332564,73.7150008,44.9455686,12.73700854,18.45618797,10.33657584,13.12629986,16.91832973,17.58042898,14.61702056,0,1,1,0,1,1,1
68.06140939,73.3185092,75.05312643,82.8845677,74.77656513,35.79865097,0.652960566,14.33327092,17.62837487,25,21.15683554,13.25117233,7.168116535,0,1,1,1,0,0,1
80.75338872,66.81216872,86.04834343,81.00967242,81.35255797,32.48776098,9.933809615,20.91082899,15.34328096,19.82086086,25,9.010607233,25,0,1,1,1,1,1,0
74.75548364,90.01823231,75.91916407,79.2531784,85.32993147,38.82228746,5.900977602,12.11934328,13.55433081,11.86320122,21.93103512,23.86823587,21.61534643,1,1,1,0,1,1,1
92.85294476,57.64493021,85.44348582,74.7976733,67.83894287,22.22468183,22.18234227,17.96133462,13.32962218,23.7896114,19.04837066,24.32456086,24.36458553,1,1,0,1,1,1,1
60.7041427,60.78546663,91.2896329,87.93249754,72.62235572,41.54040561,20.2968254,24.49208501,8.708655833,19.67008186,17.12647979,17.58769607,19.5309783,1,0,0,0,1,0,0
80.9170941,70.22328337,87.27304338,83.81020257,81.68307126,34.35413782,23.51039556,7.40487344,18.2943431,16.28624796,17.25096464,5.416235999,11.87226527,1,1,1,0,0,0,1
76.08780743,67.54604215,85.85394357,64.07983769,83.88124158,29.73663393,15.87022702,22.94025542,25,8.492744484,11.29104523,20.033954,25,0,0,0,1,1,1,0
77.28427916,66.39341224,76.69261231,87.62485525,81.13749045,46.43482124,20.44448523,18.96703115,16.40279106,17.92283693,24.39036183,19.1800321,25,0,0,1,1,1,1,1
89.40217989,97.95899426,86.16727571,78.92806681,80.89235918,37.60794348,17.14131346,15.31508878,23.17214143,17.75197777,18.73936018,15.62835102,8.018942857,0,0,0,0,1,1,1
64.42687283,85.15181608,99.07402941,76.41636655,78.57356841,33.82825376,8.142010501,16.46516397,18.94221437,10.23842324,23.55395274,19.66662595,17.32008584,1,1,0,1,1,1,1
78.15364399,69.50840154,81.49443663,74.16261452,85.9161114,24.45763867,16.30818533,20.29202247,15.97366807,17.63224317,24.83197581,17.94851831,19.14627447,1,0,0,0,1,0,0
81.94259061,76.43440019,84.8723489,80.98577455,75.81657108,39.18948646,19.38526264,22.61445353,17.65987307,18.52686835,19.36814144,12.25405501,12.86632579,1,1,0,0,0,1,0
88.31267821,62.9060625,86.74985414,78.79468753,81.86371521,30.84178211,7.370313951,25,17.51347056,14.67515893,15.1829785,22.77649957,20.71400869,0,1,0,1,1,1,0
74.49777753,73.6751453,80.53347545,71.10172563,75.47100797,21.99989079,25.53225888,15.65699111,9.377064054,25,8.217824331,14.22490108,22.13038863,0,0,0,1,0,1,0
91.127313,71.13126488,85.59678838,78.69557347,73.16935465,50,17.14900591,17.86672826,3.622774963,18.28212337,13.44078402,14.66456606,20.18200684,0,1,0,1,1,1,1
77.28602183,75.9001261,91.5587935,77.76462102,71.05999697,32.76398991,21.34395555,24.95366017,18.52073422,15.90920658,23.64815941,16.6150007,19.81317994,1,1,1,0,0,0,1
72.54797255,77.11081908,80.39303197,84.44272007,77.17465539,4.42556684,21.24203265,11.17722446,12.47253957,12.90167779,4.785424397,19.87423111,22.26323917,1,1,0,1,1,0,1
95.84257976,83.56238051,78.76544886,75.17221392,75.44201363,31.22013116,21.55006622,16.02915614,16.7937897,15.81813331,19.23190397,15.9736241,14.95907515,1,1,1,1,1,0,1
85.32966187,68.34118115,76.54260884,82.94514834,79.11306518,36.80430728,20.96465752,23.83844884,16.21924452,17.24462774,11.94941793,25,23.81081644,1,1,0,0,1,1,1
78.91560943,87.36754124,95.54336414,77.60772176,76.34136804,22.80506385,30,23.66438659,21.56436901,9.410460831,6.849745701,17.83308999,15.37473385,1,0,1,1,1,0,1
70.11815595,98.60002696,100,80.05409912,81.32910522,29.94529031,12.8707477,21.05131784,12.3331847,17.06202134,23.34240752,19.70304704,14.15742238,1,1,1,0,0,0,0
85.1024001,76.30806731,87.07656183,76.56248501,73.03692625,38.62715648,8.117018648,18.73904163,4.978807968,23.05482794,7.091110596,17.19681621,8.930614774,0,0,1,1,0,1,0
77.78721397,85.78926633,92.58350328,88.9930781,78.10875979,36.82961991,17.63538931,11.81456042,19.70645257,25,17.61635407,11.65495585,23.79504569,0,1,1,1,1,1,1
73.78791771,73.56030353,88.37302492,89.42406939,81.11212493,44.14216855,13.67182447,20.0946866,22.36337816,25,22.59116749,18.45846123,21.64917515,1,1,1,1,0,0,1
77.71853841,84.25965167,85.30776341,81.85522821,85.35087029,35.13560283,25.95495745,20.98898398,15.6822284,19.68300444,14.78004466,10.01497789,20.6529413,1,0,1,1,1,1,1
95.42163892,82.22413556,93.4591861,68.13666557,80.15916921,43.42840768,16.98952931,18.8841335,18.90494685,13.92363888,18.58201701,14.14794454,22.49816765,0,1,1,1,0,0,1
78.69847678,72.9405693,84.1430803,83.6958642,81.06900316,22.52519842,14.53091153,21.38993735,22.52610363,15.96160452,19.51869541,15.79309118,6.45697041,0,1,1,0,0,1,0
94.17456808,84.23609553,77.65955318,85.0193681,71.87852044,35.17416517,10.60323789,19.28695342,18.7585228,4.987755226,17.56170272,25,21.05575137,0,1,0,1,1,1,1
72.40112476,74.00485904,74.39014516,57.04012517,80.00171814,19.8720738,15.3809608,25,9.707909442,14.90913552,19.22935737,23.34377146,12.97478259,1,0,1,1,1,1,0
79.60415747,78.32993569,91.22388212,76.04761914,78.28949254,35.15703659,16.58550242,19.54637536,13.97064865,9.989780015,16.04081162,15.17081687,13.77093037,1,0,0,1,0,1,1
79.32663801,78.04684523,84.05684464,77.61711217,78.99843953,45.0738901,11.48074779,24.84074483,13.18755005,18.65395002,25,25,18.28779562,0,1,0,0,0,1,0
72.94349048,86.57064195,79.02439263,82.52946128,70.02453432,29.29064517,12.07126462,13.84786597,13.02112241,24.10841117,15.83933234,9.287551448,16.75208288,1,0,1,1,0,0,0
81.37587353,57.76044035,76.2037284,77.2589163,76.74871342,39.60218374,28.11018677,6.861840701,17.38722655,12.8475933,2.400205042,24.17565988,21.29063065,1,1,1,1,0,0,1
68.49226371,87.47078728,79.18079845,75.84192402,77.02952351,35.61742929,18.90899878,10.98955941,12.78814389,25,18.98054506,23.76575071,14.04530455,1,1,0,1,0,0,1
77.74702207,78.47997031,94.04749071,72.43578798,83.46798724,21.77900094,22.47273369,23.58363341,15.39334523,22.11634594,8.108584414,18.89007953,16.59435208,0,1,1,1,1,1,1
82.31691173,84.17882067,83.88974714,82.15865778,78.47385581,32.5923394,14.03496857,13.45904079,16.78523038,13.79327462,15.57781364,20.65916014,23.79917403,0,1,1,0,1,1,0
87.0984474,60.26036017,82.83685083,75.08648655,83.264614,42.12056928,6.863824381,20.04877906,14.36379752,19.78579838,24.26413796,20.01227609,25,0,0,1,0,1,0,0
78.54286184,66.27121396,87.67202474,77.36286379,74.54171421,25.59182726,29.89458254,14.91206492,10.73860969,20.45452323,25,15.9493046,25,1,1,1,1,1,1,1
81.08555093,68.11640034,75.47989209,76.8761882,85.23648027,27.46855038,15.56682371,19.70373328,21.44418152,25,12.66546424,13.07954908,24.68576428,0,1,1,1,0,1,0
96.9008969,78.46134781,86.50103566,91.92893893,87.21867852,36.59218638,17.24543425,15.69244413,12.49775571,25,25,13.22968557,11.01882199,1,1,1,1,0,1,1
87.03510014,63.76778549,78.0072026,77.31905347,78.73713746,49.46612781,16.43880183,22.41129857,9.130337655,25,16.2781536,12.28825005,16.27329963,1,1,1,0,0,1,1
77.95333471,77.60435501,87.20731875,80.82378418,77.25121551,43.71253938,18.82882527,22.09262619,16.359478,9.478537493,14.1721258,21.08687008,19.30715731,0,0,0,1,1,1,1
78.22042385,63.5443892,75.67968843,83.14872588,83.14507576,50,26.77688543,24.87097007,10.14480447,16.49674193,14.2625279,13.75822829,9.899548651,1,1,0,0,1,1,1
93.73056622,65.90015267,76.64851269,81.10348934,74.42548563,35.48670425,16.41044121,21.43894504,15.189274,20.19157581,17.72135666,11.47967125,21.09991087,0,1,1,0,1,1,1
74.76369832,61.69617969,82.52538999,79.36192626,75.04535651,39.01450416,26.23085557,15.9276037,16.0012045,22.18672881,21.48280379,21.83243834,10.15728181,1,0,0,1,1,0,0
93.5802047,92.45572593,83.67906004,75.75854183,79.29658629,42.15145654,25.94137714,11.3568201,10.87425974,19.89813535,23.04225978,16.49490319,16.50172669,0,1,1,1,0,0,1
94.72502802,56.76560842,81.4958871,70.85767784,79.45210361,36.15623388,12.44035763,17.00449652,20.22849673,13.64682276,19.75074327,16.62656764,9.951603413,1,0,0,1,0,1,1
88.75575631,81.90103956,81.3089133,79.48294392,87.12634225,42.25425424,13.47259978,19.23926781,19.27440008,25,18.515131,13.47418763,21.19280087,0,0,1,0,0,1,0
79.36560031,69.53376115,92.48316347,75.1020277,80.23783196,13.18558265,11.62092148,16.53915761,13.77105259,20.23052592,25,12.48399663,23.46124171,0,1,1,0,0,1,0
57.59892709,79.64870752,84.2412243,82.59388874,78.92892846,45.3232358,2.495678322,17.58370391,5.634461279,18.48642479,25,21.11414047,18.20521529,0,0,1,1,0,0,0
92.4659787,78.354669,87.52752383,76.24207319,74.68386872,31.00565349,22.80958675,16.46813924,17.24104496,9.639037087,18.38971787,19.81968789,9.425875365,0,1,1,0,0,0,1
72.65682065,75.46087027,87.67236537,83.3139009,76.35823471,42.79193253,12.95419076,25,19.45298,25,20.47987483,22.44536444,14.26465659,0,0,1,0,1,1,1
81.20128204,95.12169045,88.18589904,74.6306316,79.468524,45.44351294,30,23.48315825,12.29874122,25,20.25907212,21.4715269,18.80091188,1,0,0,0,0,0,0
70.96228036,75.62084443,74.90242415,70.83624543,77.7545545,29.32532991,13.08619374,15.58999687,16.61422926,24.27814451,25,23.33150627,18.92231473,1,1,0,0,1,1,0
